index,title,year,image,image_link,state,category,decade
7419,"BNB Motel sign, Colorado Springs, Colorado",1991.0,08561v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08561v.jpg,CO,Lodging,1990
7420,"Hill's Motor Court sign, Alexandria Bay, New York",1995.0,08562v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08562v.jpg,NY,Lodging,1990
7421,"Wildwood Cabins, Grand Lake, Colorado",1991.0,08563v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08563v.jpg,CO,Other,1990
7422,"Paisano Hotel, Marfa, Texas",1993.0,08564v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08564v.jpg,TX,Lodging,1990
7423,"Wentworth By-The-Sea, New Castle, New Hampshire",1995.0,08565v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08565v.jpg,NH,Other,1990
7424,"Wentworth By-The-Sea, New Castle, New Hampshire",1995.0,08566v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08566v.jpg,NH,Other,1990
7425,"Wentworth By-The-Sea, New Castle, New Hampshire",1995.0,08567v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08567v.jpg,NH,Other,1990
7426,"Wentworth By-The-Sea, New Castle, New Hampshire",1995.0,08568v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08568v.jpg,NH,Other,1990
7427,"Wentworth By-The-Sea, New Castle, New Hampshire",1995.0,08569v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08569v.jpg,NH,Other,1990
7428,"Wentworth By-The-Sea, New Castle, New Hampshire",1995.0,08570v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08570v.jpg,NH,Other,1990
7429,"Wentworth By-The-Sea, New Castle, New Hampshire",1995.0,08571v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08571v.jpg,NH,Other,1990
7430,"Wentworth By-The-Sea, New Castle, New Hampshire",1995.0,08572v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08572v.jpg,NH,Other,1990
7431,"Wentworth By-The-Sea, New Castle, New Hampshire",1995.0,08573v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08573v.jpg,NH,Other,1990
7432,"Wentworth By-The-Sea, New Castle, New Hampshire",1995.0,08574v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08574v.jpg,NH,Other,1990
7433,"Wentworth By-The-Sea, New Castle, New Hampshire",1995.0,08575v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08575v.jpg,NH,Other,1990
7434,"Wentworth By-The-Sea, New Castle, New Hampshire",1995.0,08576v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08576v.jpg,NH,Other,1990
7435,"Wentworth By-The-Sea, New Castle, New Hampshire",1995.0,08577v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08577v.jpg,NH,Other,1990
7436,"Wentworth By-The-Sea, New Castle, New Hampshire",1995.0,08578v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08578v.jpg,NH,Other,1990
7437,"Wentworth By-The-Sea, New Castle, New Hampshire",1995.0,08579v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08579v.jpg,NH,Other,1990
7438,"Wentworth By-The-Sea, New Castle, New Hampshire",1995.0,08580v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08580v.jpg,NH,Other,1990
7439,"Wentworth By-The-Sea, New Castle, New Hampshire",1995.0,08581v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08581v.jpg,NH,Other,1990
7440,"Wentworth By-The-Sea, New Castle, New Hampshire",1995.0,08582v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08582v.jpg,NH,Other,1990
7441,"Americana Hotel, Hampton Beach, New Hampshire",1984.0,08583v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08583v.jpg,NH,Lodging,1980
7442,"Concord Hotel, Kiamesha Lake, New York",1977.0,08584v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08584v.jpg,NY,Lodging,1970
7443,"Concord Hotel, Kiamesha Lake, New York",1977.0,08585v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08585v.jpg,NY,Lodging,1970
7444,"Concord Hotel, Kiamesha Lake, New York",1977.0,08586v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08586v.jpg,NY,Lodging,1970
7445,"Concord Hotel, Kiamesha Lake, New York",1977.0,08587v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08587v.jpg,NY,Lodging,1970
7446,"Concord Hotel, Kiamesha Lake, New York",1977.0,08588v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08588v.jpg,NY,Lodging,1970
7447,"Concord Hotel, Kiamesha Lake, New York",1977.0,08589v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08589v.jpg,NY,Lodging,1970
7448,"Concord Hotel, Kiamesha Lake, New York",1977.0,08590v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08590v.jpg,NY,Lodging,1970
7449,"Concord Hotel, Kiamesha Lake, New York",1977.0,08591v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08591v.jpg,NY,Lodging,1970
7450,"Concord Hotel, Kiamesha Lake, New York",1977.0,08592v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08592v.jpg,NY,Lodging,1970
7451,"Concord Hotel, Kiamesha Lake, New York",1977.0,08593v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08593v.jpg,NY,Lodging,1970
7452,"Concord Hotel, Kiamesha Lake, New York",1977.0,08594v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08594v.jpg,NY,Lodging,1970
7453,"Concord Hotel, Kiamesha Lake, New York",1977.0,08595v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08595v.jpg,NY,Lodging,1970
7454,"Concord Hotel, Kiamesha Lake, New York",1977.0,08596v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08596v.jpg,NY,Lodging,1970
7455,"Concord Hotel, Kiamesha Lake, New York",1977.0,08597v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08597v.jpg,NY,Lodging,1970
7456,"Concord Hotel, Kiamesha Lake, New York",1977.0,08598v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08598v.jpg,NY,Lodging,1970
7457,"Concord Hotel, Kiamesha Lake, New York",1977.0,08599v.jpg,https://cdn.loc.gov/service/pnp/mrg/08500/08599v.jpg,NY,Lodging,1970
7458,"Concord Hotel, Kiamesha Lake, New York",1977.0,08600v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08600v.jpg,NY,Lodging,1970
7459,"Concord Hotel, Kiamesha Lake, New York",1977.0,08601v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08601v.jpg,NY,Lodging,1970
7460,"Concord Hotel, Kiamesha Lake, New York",1977.0,08602v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08602v.jpg,NY,Lodging,1970
7461,"Concord Hotel, Kiamesha Lake, New York",1977.0,08603v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08603v.jpg,NY,Lodging,1970
7462,"Concord Hotel, Kiamesha Lake, New York",1977.0,08604v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08604v.jpg,NY,Lodging,1970
7463,"Concord Hotel, Kiamesha Lake, New York",1977.0,08605v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08605v.jpg,NY,Lodging,1970
7464,"Concord Hotel, Kiamesha Lake, New York",1977.0,08606v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08606v.jpg,NY,Lodging,1970
7465,"Concord Hotel, Kiamesha Lake, New York",1977.0,08607v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08607v.jpg,NY,Lodging,1970
7466,"Concord Hotel, Kiamesha Lake, New York",1977.0,08608v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08608v.jpg,NY,Lodging,1970
7467,"Concord Hotel, Kiamesha Lake, New York",1977.0,08609v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08609v.jpg,NY,Lodging,1970
7468,"Concord Hotel, Kiamesha Lake, New York",1977.0,08610v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08610v.jpg,NY,Lodging,1970
7469,"Concord Hotel, Kiamesha Lake, New York",1977.0,08611v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08611v.jpg,NY,Lodging,1970
7470,"Concord Hotel, Kiamesha Lake, New York",1977.0,08612v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08612v.jpg,NY,Lodging,1970
7471,"Concord Hotel, Kiamesha Lake, New York",1977.0,08613v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08613v.jpg,NY,Lodging,1970
7472,"Concord Hotel, Kiamesha Lake, New York",1977.0,08614v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08614v.jpg,NY,Lodging,1970
7473,"Concord Hotel, Kiamesha Lake, New York",1977.0,08615v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08615v.jpg,NY,Lodging,1970
7474,"Concord Hotel, Kiamesha Lake, New York",1977.0,08616v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08616v.jpg,NY,Lodging,1970
7475,"Concord Hotel, Kiamesha Lake, New York",1977.0,08617v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08617v.jpg,NY,Lodging,1970
7476,"Concord Hotel, Kiamesha Lake, New York",1977.0,08618v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08618v.jpg,NY,Lodging,1970
7477,"Concord Hotel, Kiamesha Lake, New York",1977.0,08619v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08619v.jpg,NY,Lodging,1970
7478,"Concord Hotel, Kiamesha Lake, New York",1977.0,08620v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08620v.jpg,NY,Lodging,1970
7479,"Concord Hotel, Kiamesha Lake, New York",1978.0,08621v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08621v.jpg,NY,Lodging,1970
7480,"Concord Hotel, Kiamesha Lake, New York",1978.0,08622v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08622v.jpg,NY,Lodging,1970
7481,"Concord Hotel, Kiamesha Lake, New York",1978.0,08623v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08623v.jpg,NY,Lodging,1970
7482,"Concord Hotel, Kiamesha Lake, New York",1978.0,08624v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08624v.jpg,NY,Lodging,1970
7483,"Concord Hotel, Kiamesha Lake, New York",1978.0,08625v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08625v.jpg,NY,Lodging,1970
7484,"Concord Hotel, Kiamesha Lake, New York",1978.0,08626v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08626v.jpg,NY,Lodging,1970
7485,"Concord Hotel, Kiamesha Lake, New York",1978.0,08627v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08627v.jpg,NY,Lodging,1970
7486,"Concord Hotel, Kiamesha Lake, New York",1978.0,08628v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08628v.jpg,NY,Lodging,1970
7487,"Concord Hotel, Kiamesha Lake, New York",1978.0,08629v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08629v.jpg,NY,Lodging,1970
7488,"Concord Hotel, Kiamesha Lake, New York",1978.0,08630v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08630v.jpg,NY,Lodging,1970
7489,"Concord Hotel, Kiamesha Lake, New York",1978.0,08631v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08631v.jpg,NY,Lodging,1970
7490,"Concord Hotel, Kiamesha Lake, New York",1978.0,08632v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08632v.jpg,NY,Lodging,1970
7491,"Concord Hotel, Kiamesha Lake, New York",1978.0,08633v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08633v.jpg,NY,Lodging,1970
7492,"Concord Hotel, Kiamesha Lake, New York",1978.0,08634v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08634v.jpg,NY,Lodging,1970
7493,"Concord Hotel, Kiamesha Lake, New York",1978.0,08635v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08635v.jpg,NY,Lodging,1970
7494,"Concord Hotel, Kiamesha Lake, New York",1978.0,08636v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08636v.jpg,NY,Lodging,1970
7495,"Concord Hotel, Kiamesha Lake, New York",1978.0,08637v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08637v.jpg,NY,Lodging,1970
7496,"Concord Hotel, Kiamesha Lake, New York",1978.0,08638v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08638v.jpg,NY,Lodging,1970
7497,"Concord Hotel, Kiamesha Lake, New York",1978.0,08639v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08639v.jpg,NY,Lodging,1970
7498,"Concord Hotel, Kiamesha Lake, New York",1978.0,08640v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08640v.jpg,NY,Lodging,1970
7499,"Concord Hotel, Kiamesha Lake, New York",1978.0,08641v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08641v.jpg,NY,Lodging,1970
7500,"Concord Hotel, Kiamesha Lake, New York",1978.0,08642v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08642v.jpg,NY,Lodging,1970
7501,"Concord Hotel, Kiamesha Lake, New York",1978.0,08643v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08643v.jpg,NY,Lodging,1970
7502,"Concord Hotel, Kiamesha Lake, New York",1978.0,08644v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08644v.jpg,NY,Lodging,1970
7503,"Concord Hotel, Kiamesha Lake, New York",1978.0,08645v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08645v.jpg,NY,Lodging,1970
7504,"Concord Hotel, Kiamesha Lake, New York",1978.0,08646v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08646v.jpg,NY,Lodging,1970
7505,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08647v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08647v.jpg,NY,Lodging,1970
7506,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08648v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08648v.jpg,NY,Lodging,1970
7507,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08649v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08649v.jpg,NY,Lodging,1970
7508,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08650v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08650v.jpg,NY,Lodging,1970
7509,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08651v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08651v.jpg,NY,Lodging,1970
7510,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08652v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08652v.jpg,NY,Lodging,1970
7511,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08653v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08653v.jpg,NY,Lodging,1970
7512,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08654v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08654v.jpg,NY,Lodging,1970
7513,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08655v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08655v.jpg,NY,Lodging,1970
7514,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08656v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08656v.jpg,NY,Lodging,1970
7515,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08657v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08657v.jpg,NY,Lodging,1970
7516,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08658v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08658v.jpg,NY,Lodging,1970
7517,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08659v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08659v.jpg,NY,Lodging,1970
7518,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08660v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08660v.jpg,NY,Lodging,1970
7519,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08661v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08661v.jpg,NY,Lodging,1970
7520,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08662v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08662v.jpg,NY,Lodging,1970
7521,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08663v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08663v.jpg,NY,Lodging,1970
7522,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08664v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08664v.jpg,NY,Lodging,1970
7523,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08665v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08665v.jpg,NY,Lodging,1970
7524,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08666v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08666v.jpg,NY,Lodging,1970
7525,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08667v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08667v.jpg,NY,Lodging,1970
7526,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08668v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08668v.jpg,NY,Lodging,1970
7527,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08669v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08669v.jpg,NY,Lodging,1970
7528,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08670v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08670v.jpg,NY,Lodging,1970
7529,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08671v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08671v.jpg,NY,Lodging,1970
7530,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08672v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08672v.jpg,NY,Lodging,1970
7531,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08673v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08673v.jpg,NY,Lodging,1970
7532,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08674v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08674v.jpg,NY,Lodging,1970
7533,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08675v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08675v.jpg,NY,Lodging,1970
7534,"Homowack Hotel/Lodge, Spring Glen, New York",1977.0,08676v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08676v.jpg,NY,Lodging,1970
7535,"Brown's Hotel, Loch Sheldrake, New York",1977.0,08677v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08677v.jpg,NY,Lodging,1970
7536,"Brown's Hotel, Loch Sheldrake, New York",1977.0,08678v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08678v.jpg,NY,Lodging,1970
7537,"Brown's Hotel, Loch Sheldrake, New York",1977.0,08679v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08679v.jpg,NY,Lodging,1970
7538,"Brown's Hotel, Loch Sheldrake, New York",1977.0,08680v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08680v.jpg,NY,Lodging,1970
7539,"Brown's Hotel, Loch Sheldrake, New York",1977.0,08681v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08681v.jpg,NY,Lodging,1970
7540,"Brown's Hotel, Loch Sheldrake, New York",1977.0,08682v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08682v.jpg,NY,Lodging,1970
7541,"Brown's Hotel, Loch Sheldrake, New York",1977.0,08683v.jpg,https://cdn.loc.gov/service/pnp/mrg/08600/08683v.jpg,NY,Lodging,1970
