location_name,latitude,longitude,activity_type
Sagrada Familia Barcelona,41.4036,2.1744,architecture_culture
Anne Frank House Amsterdam,52.3752,4.8840,history_culture
Eiffel Tower Paris,48.8584,2.2945,landmark_culture
Colosseum Rome,41.8902,12.4922,history_architecture
Oia Sunset Point Santorini,36.4611,25.3769,beach_relaxation
Charles Bridge Prague,50.0865,14.4110,history_culture
Schönbrunn Palace Vienna,48.1858,16.3128,history_culture
Széchenyi Thermal Baths Budapest,47.5186,19.0819,relaxation_thermal
Dubrovnik Old Town Walls,42.6507,18.0944,history_beach 
